blockname,code
新零售,"['000061', '000062', '000417', '000501', '000505', '000564', '000571', '000639', '000715', '000759', '000785', '000861', '000882', '002024', '002094', '002127', '002153', '002187', '002251', '002264', '002269', '002277', '002291', '002344', '002419', '002461', '002561', '002582', '002612', '002697', '002761', '002832', '300005', '300078', '300094', '300117', '300128', '300378', '300413', '300441', '300609', '300755', '300783', '600122', '600280', '600306', '600327', '600361', '600415', '600597', '600600', '600628', '600682', '600693', '600697', '600712', '600723', '600729', '600738', '600774', '600778', '600785', '600814', '600821', '600824', '600827', '600838', '600858', '600865', '600898', '601086', '601116', '601366', '601933', '603031', '603101', '603555', '603608', '603708', '603719', '603777', '603877', '603883']"
无人机,"['000049', '000066', '000099', '000687', '000697', '000821', '000887', '001696', '002013', '002076', '002097', '002111', '002151', '002170', '002214', '002236', '002241', '002254', '002298', '002352', '002361', '002389', '002413', '002526', '002577', '002651', '002664', '002681', '002829', '002933', '002985', '300044', '300045', '300079', '300091', '300095', '300101', '300157', '300177', '300185', '300188', '300213', '300221', '300278', '300342', '300367', '300411', '300489', '300493', '300496', '300516', '300581', '300627', '300656', '300699', '300719', '300762', '300853', '300900', '600118', '600316', '600372', '600435', '600523', '600596', '600677', '600760', '600846', '600869', '600879', '600893', '603068', '603399', '603660', '603666', '603766', '603970', '688002', '688066', '688311', '688568']"
无人驾驶,"['000008', '000625', '000700', '000851', '000868', '000901', '000909', '000925', '000957', '000988', '002008', '002055', '002151', '002214', '002232', '002284', '002355', '002373', '002405', '002414', '002444', '002446', '002448', '002456', '002488', '002590', '002594', '002625', '002703', '002766', '002813', '002829', '002881', '002906', '002920', '300020', '300045', '300075', '300100', '300114', '300134', '300177', '300209', '300270', '300304', '300418', '300449', '300456', '300458', '300496', '300516', '300552', '300598', '300602', '300656', '600006', '600081', '600166', '600418', '600562', '600686', '600699', '600718', '600733', '601000', '601127', '601238', '601689', '601777', '601799', '603005', '603023', '603035', '603197', '603297', '603528', '688022', '688288']"
无线耳机,"['000049', '002045', '002079', '002139', '002156', '002230', '002241', '002280', '002351', '002369', '002426', '002460', '002475', '002577', '002594', '002600', '002635', '002640', '002655', '002681', '002855', '002861', '002878', '002888', '002938', '002947', '002957', '002975', '002981', '300007', '300014', '300115', '300136', '300173', '300184', '300207', '300328', '300367', '300433', '300438', '300460', '300461', '300464', '300493', '300562', '300657', '300661', '300671', '300716', '300787', '300793', '300806', '300866', '300909', '600035', '600083', '600171', '600203', '600366', '600410', '601137', '601231', '603068', '603133', '603160', '603212', '603283', '603330', '603501', '603595', '603626', '603986', '688001', '688286']"
昨成交20,"['000725', '000858', '002241', '002340', '002415', '002460', '002466', '002475', '002594', '300059', '300750', '300999', '600031', '600036', '600438', '600519', '600703', '600893', '601012', '601318']"
昨收活跃,"['000667', '000702', '002366', '002919', '600208', '600337', '600691', '600869', '601258']"
昨日上榜,"['000007', '000155', '000301', '000521', '000570', '000603', '000668', '000718', '000767', '000807', '000918', '000927', '000933', '000960', '001896', '002017', '002036', '002080', '002149', '002164', '002240', '002291', '002342', '002375', '002402', '002405', '002497', '002580', '002619', '002709', '002781', '002812', '003026', '003028', '003029', '300038', '300189', '300307', '300393', '300489', '300568', '300677', '300894', '300922', '300925', '600223', '600237', '600292', '600506', '600573', '600793', '600844', '600982', '601086', '601633', '603006', '603032', '603087', '603100', '603444', '603565', '603680', '603982', '605008', '605179', '605376', '688202', '688339', '688618']"
昨日振荡,"['000039', '000061', '000155', '000159', '000502', '000521', '000599', '000665', '000738', '000767', '000768', '000790', '000799', '000830', '000927', '002026', '002074', '002141', '002177', '002196', '002219', '002263', '002288', '002340', '002451', '002455', '002460', '002466', '002504', '002580', '002612', '002617', '002619', '002625', '002627', '002647', '002651', '002668', '002733', '002738', '002759', '002781', '002796', '002806', '002886', '002900', '002903', '002949', '003029', '300001', '300064', '300082', '300648', '300677', '300752', '300825', '300829', '300901', '300925', '300999', '600031', '600097', '600189', '600262', '600295', '600405', '600439', '600460', '600506', '600510', '600540', '600615', '600655', '600744', '600753', '600760', '600773', '600862', '600893', '600982', '601233', '601369', '603038', '603069', '603087', '603126', '603128', '603179', '603187', '603218', '603536', '603678', '603788', '603799', '603991', '688016', '688026', '688063', '688368', '688618']"
昨日涨停,"['600793', '601777', '000570', '600844', '600083', '002291', '600856', '000668', '002375', '002017', '600319', '002920', '601717', '002405', '002553', '002164', '001896', '000687', '002813', '600725', '002805', '002703', '603618', '603225', '600226', '002480', '605168', '000718', '002708', '603110', '603100', '002473', '002791', '601113', '002427', '000918', '002908', '600265', '600223', '605118', '002036', '002906', '605008', '600660', '000595', '300307', '002499', '603698', '002608', '600237', '000301', '601058', '002402']"
昨日较弱,"['000004', '000039', '000056', '000060', '000411', '000421', '000426', '000518', '000525', '000530', '000546', '000547', '000557', '000564', '000591', '000593', '000609', '000612', '000613', '000629', '000632', '000638', '000676', '000690', '000692', '000711', '000713', '000723', '000729', '000751', '000762', '000816', '000898', '000983', '000993', '002020', '002025', '002035', '002096', '002108', '002114', '002116', '002118', '002128', '002136', '002159', '002162', '002170', '002179', '002201', '002202', '002204', '002205', '002218', '002225', '002234', '002235', '002248', '002251', '002295', '002300', '002303', '002304', '002305', '002315', '002334', '002341', '002378', '002379', '002395', '002414', '002433', '002452', '002458', '002461', '002464', '002471', '002522', '002524', '002530', '002537', '002546', '002548', '002578', '002617', '002618', '002623', '002630', '002646', '002663', '002667', '002673', '002686', '002693', '002696', '002713', '002718', '002725', '002750', '002757', '002769', '002774', '002798', '002824', '002830', '002840', '002842', '002847', '002850', '002853', '002893', '002907', '002917', '002956', '002961', '002982', '002985', '002995', '002998', '003015', '003017', '003023', '003025', '300082', '300189', '300648', '300894', '300910', '300919', '300927', '300928', '300999', '600058', '600060', '600073', '600075', '600081', '600108', '600125', '600136', '600137', '600139', '600151', '600213', '600227', '600235', '600318', '600320', '600336', '600340', '600359', '600362', '600397', '600433', '600438', '600448', '600455', '600456', '600460', '600489', '600517', '600525', '600537', '600543', '600546', '600549', '600560', '600561', '600569', '600581', '600594', '600685', '600737', '600758', '600784', '600792', '600809', '600811', '600841', '600882', '600885', '600893', '600961', '600965', '600971', '600975', '600988', '601011', '601016', '601038', '601101', '601111', '601212', '601598', '601609', '601666', '601702', '601865', '601898', '601899', '601958', '603002', '603011', '603015', '603016', '603076', '603083', '603087', '603093', '603112', '603126', '603139', '603198', '603227', '603238', '603309', '603330', '603351', '603366', '603379', '603385', '603399', '603439', '603505', '603518', '603530', '603603', '603619', '603678', '603685', '603689', '603693', '603696', '603718', '603725', '603777', '603797', '603819', '603825', '603838', '603879', '603895', '603900', '603919', '603956', '603968', '603976', '603988', '605001', '605007', '605108', '605388', '605500', '688196']"
昨日较强,"['000159', '000615', '000938', '002030', '002056', '002222', '002241', '002371', '002373', '002416', '002472', '002488', '002597', '002627', '002670', '002741', '002761', '002796', '002833', '002838', '002892', '002903', '300038', '300181', '300244', '300413', '300687', '300829', '300901', '300922', '600143', '600171', '600392', '600510', '600745', '601233', '603005', '603128', '603179', '603297', '603486', '603613', '603717', '603991', '688016', '688026', '688363']"
昨日连板,"['000570', '000668', '002017', '002291', '002375', '600083', '600319', '600793', '600844', '600856', '601777']"
昨日首板,"['000595', '000687', '000918', '001896', '002036', '002402', '002405', '002427', '002473', '002480', '002553', '002608', '002703', '002708', '002791', '002805', '002813', '002906', '002908', '002920', '300307', '600226', '600237', '600265', '600660', '600725', '601058', '601113', '601717', '603100', '603110', '603225', '603618', '603698', '605118', '605168']"
昨曾涨停,"['000159', '000407', '000509', '000665', '000767', '002026', '002056', '002072', '002076', '002077', '002176', '002197', '002219', '002222', '002263', '002340', '002371', '002541', '002580', '002619', '002761', '002886', '002903', '002949', '003026', '600171', '600289', '600392', '600416', '600510', '600773', '600805', '600815', '600816', '600877', '601233', '601369', '603179', '605376']"
昨高换手,"['000007', '000591', '000767', '001896', '002149', '002164', '002177', '002340', '002342', '002497', '002580', '002647', '002781', '002978', '002996', '003000', '003022', '300898', '600405', '600956', '603087', '603256', '603565', '605008', '605018', '605358', '605376']"
智慧城市,"['000032', '000058', '000063', '000158', '000413', '000498', '000555', '000628', '000662', '000665', '000671', '000711', '000901', '000909', '000925', '000948', '000988', '000997', '001965', '002063', '002065', '002090', '002121', '002161', '002178', '002197', '002230', '002236', '002253', '002261', '002268', '002288', '002298', '002308', '002316', '002325', '002329', '002331', '002368', '002373', '002383', '002396', '002401', '002405', '002410', '002415', '002421', '002439', '002474', '002512', '002528', '002583', '002609', '002638', '002642', '002654', '002657', '002767', '002777', '002781', '002990', '003005', '300007', '300020', '300025', '300035', '300036', '300038', '300044', '300066', '300070', '300074', '300075', '300096', '300098', '300155', '300167', '300168', '300177', '300188', '300203', '300212', '300213', '300231', '300232', '300245', '300249', '300253', '300270', '300275', '300279', '300287', '300293', '300299', '300300', '300324', '300330', '300345', '300368', '300376', '300378', '300389', '300407', '300423', '300448', '300449', '300472', '300506', '300520', '300523', '300525', '300546', '300552', '300555', '300556', '300588', '300603', '300605', '300608', '300647', '300675', '300691', '300730', '300762', '300778', '300826', '300862', '300889', '600037', '600100', '600112', '600198', '600225', '600271', '600289', '600487', '600536', '600556', '600601', '600602', '600654', '600718', '600728', '600775', '600797', '600804', '600831', '600855', '600869', '601138', '603303', '603322', '603357', '603515', '603636', '603660', '603679', '603700', '603869', '605178', '688023', '688051', '688100', '688159', '688288', '688418']"
智能交通,"['000058', '000800', '000925', '000938', '000997', '002073', '002090', '002151', '002152', '002178', '002232', '002236', '002253', '002296', '002316', '002331', '002373', '002383', '002401', '002405', '002415', '002421', '002512', '002528', '002609', '002638', '002869', '002990', '300007', '300020', '300024', '300036', '300074', '300075', '300098', '300101', '300114', '300167', '300168', '300209', '300212', '300270', '300287', '300353', '300365', '300366', '300407', '300420', '300448', '300462', '300546', '300552', '300588', '300603', '300807', '300862', '600035', '600100', '600166', '600260', '600289', '600345', '600386', '600415', '600476', '600611', '600662', '600718', '600845', '600855', '601727', '601777', '603018', '603068', '603357', '603528', '603636', '603776', '603869', '688015']"
智能医疗,"['000028', '000150', '000503', '000516', '000566', '000638', '000725', '002038', '002065', '002178', '002223', '002262', '002315', '002362', '002390', '002421', '002424', '002432', '002433', '002589', '002603', '002690', '002698', '002777', '002870', '300003', '300015', '300020', '300026', '300030', '300049', '300074', '300075', '300078', '300096', '300146', '300166', '300168', '300199', '300206', '300209', '300247', '300253', '300273', '300288', '300290', '300298', '300300', '300310', '300439', '300448', '300451', '300493', '300550', '300562', '300678', '300698', '300869', '600035', '600055', '600146', '600158', '600260', '600570', '600572', '600588', '600633', '600718', '600728', '600767', '600996', '600998', '601607', '603108', '603118', '603368', '603610', '603927', '603990', '605186', '605288', '688139', '688277', '688579']"
智能家居,"['000016', '000100', '000333', '000404', '000521', '000541', '000662', '000785', '000810', '000917', '000936', '000938', '002043', '002084', '002121', '002137', '002139', '002230', '002236', '002242', '002280', '002293', '002375', '002396', '002397', '002402', '002415', '002421', '002444', '002473', '002482', '002528', '002543', '002614', '002631', '002676', '002681', '002705', '002706', '002761', '002790', '002818', '002841', '002848', '002851', '002853', '002892', '002925', '002937', '003012', '003021', '003028', '300007', '300074', '300131', '300155', '300183', '300241', '300247', '300250', '300279', '300301', '300310', '300312', '300327', '300335', '300342', '300352', '300367', '300403', '300423', '300513', '300514', '300543', '300624', '300691', '300701', '300729', '300749', '300822', '300866', '300884', '600050', '600060', '600100', '600193', '600321', '600336', '600690', '600743', '600804', '600978', '600996', '601567', '603008', '603030', '603068', '603083', '603118', '603133', '603160', '603195', '603313', '603385', '603389', '603486', '603515', '603551', '603583', '603610', '603816', '603828', '603848', '603898', '603992', '605288', '605318', '605336', '688169', '688589', '688595', '688599']"
智能机器,"['000008', '000404', '000410', '000413', '000584', '000723', '000816', '000821', '000837', '000913', '000938', '000961', '001696', '002006', '002008', '002009', '002011', '002026', '002031', '002062', '002073', '002097', '002116', '002122', '002139', '002147', '002168', '002184', '002209', '002230', '002241', '002270', '002283', '002292', '002298', '002334', '002337', '002347', '002348', '002367', '002369', '002376', '002380', '002403', '002406', '002414', '002426', '002444', '002472', '002482', '002491', '002520', '002527', '002535', '002559', '002577', '002611', '002660', '002689', '002698', '002747', '002896', '002903', '002917', '002957', '002975', '002979', '003025', '003028', '300018', '300019', '300024', '300044', '300073', '300076', '300083', '300097', '300098', '300111', '300115', '300117', '300124', '300126', '300131', '300154', '300161', '300173', '300188', '300193', '300195', '300201', '300222', '300276', '300278', '300280', '300281', '300293', '300307', '300328', '300358', '300367', '300368', '300400', '300403', '300415', '300458', '300461', '300466', '300472', '300475', '300479', '300488', '300532', '300549', '300607', '300663', '300720', '300748', '300751', '300757', '300853', '300907', '300913', '300916', '600172', '600215', '600243', '600282', '600330', '600406', '600503', '600560', '600565', '600579', '600580', '600699', '600701', '600775', '600835', '600885', '601138', '601369', '601608', '601727', '603015', '603066', '603100', '603131', '603283', '603355', '603380', '603486', '603656', '603666', '603728', '603859', '603895', '603901', '603933', '603960', '603996', '688003', '688017', '688022', '688090', '688160', '688165', '688169', '688218', '688277', '688308', '688360', '688529', '688557', '688558', '688698', '688777']"
智能电网,"['000021', '000400', '000507', '000551', '000585', '000682', '000967', '000993', '002028', '002058', '002074', '002090', '002112', '002121', '002168', '002169', '002180', '002184', '002298', '002309', '002322', '002339', '002350', '002356', '002358', '002380', '002441', '002451', '002452', '002471', '002474', '002498', '002514', '002519', '002533', '002545', '002546', '002560', '002606', '002617', '002622', '002684', '002692', '002879', '003008', '300001', '300014', '300018', '300035', '300040', '300044', '300062', '300069', '300120', '300139', '300140', '300141', '300183', '300201', '300208', '300215', '300222', '300259', '300265', '300277', '300283', '300286', '300339', '300341', '300353', '300356', '300360', '300365', '300366', '300423', '300427', '300444', '300477', '300491', '300510', '300513', '300514', '300617', '300667', '300670', '300682', '300800', '300827', '300830', '300853', '300882', '600089', '600112', '600171', '600192', '600268', '600290', '600312', '600353', '600379', '600406', '600468', '600517', '600525', '600550', '600560', '600577', '600590', '600869', '600885', '600973', '601126', '601179', '601222', '601567', '601616', '601619', '601700', '601877', '603015', '603045', '603050', '603063', '603126', '603421', '603530', '603556', '603577', '603666', '603803', '603829', '603861', '603988', '605066', '688080', '688100', '688159', '688330', '688579', '688589']"
智能电视,"['000016', '000100', '000156', '000665', '000725', '000801', '000810', '000909', '002052', '002230', '002241', '002429', '002519', '002983', '300074', '300079', '300128', '300496', '600060', '600355', '600637', '600839', '603996', '688099']"
智能穿戴,"['000026', '000049', '000063', '000636', '000670', '000676', '000725', '000913', '002025', '002027', '002036', '002055', '002079', '002156', '002217', '002230', '002241', '002273', '002280', '002288', '002292', '002313', '002351', '002362', '002387', '002426', '002432', '002512', '002579', '002603', '002618', '002635', '002655', '002681', '002841', '002855', '002861', '002870', '002925', '002935', '300005', '300007', '300032', '300053', '300083', '300088', '300101', '300114', '300115', '300134', '300136', '300184', '300223', '300236', '300246', '300256', '300303', '300312', '300327', '300328', '300408', '300433', '300458', '300493', '300496', '300538', '300562', '300686', '300709', '300773', '300787', '300793', '300830', '600083', '600122', '600198', '600260', '600345', '600460', '600584', '600734', '601231', '601360', '603773', '688127']"
最近复牌,"['002445', '300506', '300065', '300200', '300011', '603021', '603903', '002857', '300422', '002781', '600841', '002115', '300182', '688029']"
最近多板,"['000301', '000521', '000538', '000557', '000570', '000633', '000668', '000700', '000718', '000767', '000798', '000799', '000927', '002017', '002164', '002291', '002340', '002342', '002375', '002401', '002466', '002497', '002505', '002548', '002580', '002625', '002714', '002756', '002759', '002848', '002910', '003000', '300082', '600059', '600097', '600110', '600189', '600223', '600257', '600405', '600415', '600419', '600460', '600499', '600655', '600779', '600793', '600798', '600844', '601016', '601908', '603565', '603995', '605008']"
最近异动,"['000155', '000521', '000545', '000570', '000591', '000633', '000700', '000767', '000798', '000995', '001896', '002149', '002164', '002177', '002240', '002245', '002340', '002342', '002466', '002497', '002503', '002536', '002548', '002580', '002612', '002617', '002647', '002738', '002796', '002805', '002824', '002870', '002971', '002977', '002978', '002996', '003000', '003011', '003022', '003028', '003029', '300752', '300925', '300926', '300927', '600110', '600121', '600152', '600189', '600199', '600257', '600292', '600333', '600379', '600381', '600405', '600559', '600586', '600616', '600655', '600711', '600744', '600798', '600855', '600956', '600982', '601311', '601908', '603087', '603185', '603222', '603256', '603290', '603982', '605008', '605099', '605123', '605179', '605183', '605186', '605376', '605388', '688617']"
最近闪拉,"['000159', '000521', '000715', '000767', '000899', '000927', '002017', '002040', '002314', '002342', '002503', '002549', '002580', '002619', '002647', '002673', '002750', '002771', '002900', '300064', '600109', '600121', '600139', '600217', '600248', '600262', '600292', '600359', '600439', '600495', '600733', '600776', '600793', '600807', '600814', '601008', '601727', '603069', '603087', '603725', '603788', '603929', '605118']"
最近闪跌,"['000155', '000591', '000715', '002756', '002771', '600220', '600405', '603087']"
核电核能,"['000037', '000543', '000600', '000633', '000709', '000777', '000825', '000881', '000883', '000899', '000922', '000967', '000969', '000993', '002011', '002031', '002058', '002110', '002130', '002149', '002167', '002204', '002212', '002227', '002248', '002255', '002266', '002276', '002318', '002335', '002358', '002364', '002366', '002438', '002478', '002498', '002523', '002533', '002534', '002564', '002598', '002630', '002665', '002671', '002692', '002724', '002756', '003816', '300002', '300004', '300034', '300084', '300091', '300092', '300095', '300153', '300172', '300185', '300198', '300402', '300411', '300470', '300478', '300489', '300527', '300718', '300823', '300855', '300875', '600011', '600019', '600023', '600089', '600110', '600157', '600169', '600202', '600269', '600282', '600292', '600307', '600328', '600399', '600416', '600456', '600482', '600483', '600516', '600550', '600558', '600580', '600590', '600622', '600642', '600848', '600869', '600875', '600900', '600973', '601106', '601179', '601226', '601369', '601399', '601611', '601727', '601877', '601985', '601991', '603100', '603169', '603269', '603308', '603333', '603699', '603969', '603985', '603991', '605123', '688101', '688186']"
次新开板,"['003020', '003023', '003025', '003026', '003027', '003028', '003029', '300894', '300917', '300918', '300919', '300920', '300921', '300922', '300923', '300925', '300926', '300927', '300928', '601956', '605151', '605155', '605179', '605186', '605277', '605299', '605376', '605377', '605500']"
次新股,"['002971', '002975', '002976', '002977', '002978', '002979', '002980', '002981', '002982', '002983', '002984', '002985', '002986', '002987', '002988', '002989', '002990', '002991', '002992', '002993', '002995', '002996', '002997', '002998', '002999', '003000', '003001', '003002', '003003', '003004', '003005', '003006', '003007', '003008', '003009', '003010', '003011', '003012', '003013', '003015', '003016', '003017', '003018', '003019', '003020', '003021', '003022', '003023', '003025', '003026', '003027', '003028', '003029', '300813', '300815', '300816', '300817', '300818', '300819', '300820', '300821', '300822', '300823', '300824', '300825', '300826', '300827', '300828', '300829', '300830', '300831', '300832', '300833', '300835', '300836', '300837', '300838', '300839', '300840', '300841', '300842', '300843', '300845', '300846', '300847', '300848', '300849', '300850', '300851', '300852', '300853', '300855', '300856', '300857', '300858', '300859', '300860', '300861', '300862', '300863', '300864', '300865', '300866', '300867', '300868', '300869', '300870', '300871', '300872', '300873', '300875', '300876', '300877', '300878', '300879', '300880', '300881', '300882', '300883', '300884', '300885', '300886', '300887', '300888', '300889', '300890', '300891', '300892', '300893', '300894', '300895', '300896', '300897', '300898', '300899', '300900', '300901', '300902', '300903', '300905', '300906', '300907', '300908', '300909', '300910', '300911', '300912', '300913', '300915', '300916', '300917', '300918', '300919', '300920', '300921', '300922', '300923', '300925', '300926', '300927', '300928', '300999', '600918', '600956', '601187', '601399', '601456', '601568', '601609', '601686', '601696', '601702', '601778', '601816', '601827', '601956', '601995', '603087', '603095', '603112', '603155', '603195', '603212', '603221', '603290', '603353', '603392', '603408', '603439', '603551', '603565', '603682', '603719', '603893', '603931', '603948', '603949', '603950', '605001', '605003', '605006', '605007', '605008', '605009', '605018', '605050', '605058', '605066', '605068', '605088', '605099', '605100', '605108', '605111', '605116', '605118', '605123', '605128', '605136', '605151', '605155', '605158', '605166', '605168', '605169', '605177', '605178', '605179', '605183', '605186', '605188', '605198', '605199', '605218', '605222', '605255', '605258', '605266', '605277', '605288', '605299', '605318', '605333', '605336', '605338', '605358', '605366', '605369', '605376', '605377', '605388', '605399', '605500', '688004', '688013', '688017', '688026', '688027', '688050', '688051', '688055', '688056', '688057', '688060', '688063', '688065', '688069', '688077', '688080', '688085', '688086', '688090', '688093', '688095', '688096', '688100', '688106', '688126', '688127', '688129', '688133', '688135', '688136', '688155', '688156', '688157', '688158', '688159', '688160', '688165', '688169', '688177', '688178', '688179', '688180', '688185', '688186', '688189', '688200', '688208', '688215', '688219', '688221', '688222', '688228', '688229', '688233', '688256', '688266', '688277', '688278', '688286', '688289', '688298', '688301', '688308', '688309', '688311', '688312', '688313', '688318', '688330', '688335', '688336', '688338', '688339', '688356', '688360', '688365', '688377', '688378', '688379', '688386', '688390', '688393', '688396', '688398', '688408', '688418', '688466', '688488', '688500', '688505', '688508', '688510', '688513', '688516', '688518', '688519', '688520', '688521', '688526', '688528', '688529', '688536', '688550', '688551', '688555', '688556', '688557', '688558', '688559', '688560', '688561', '688566', '688567', '688568', '688569', '688571', '688577', '688578', '688579', '688580', '688585', '688586', '688588', '688589', '688590', '688595', '688596', '688598', '688599', '688600', '688608', '688617', '688618', '688658', '688668', '688678', '688679', '688686', '688698', '688699', '688777', '688788', '688981', '689009']"
次新超跌,"['002976', '002980', '002981', '002982', '002983', '002986', '002987', '002988', '002989', '002991', '002992', '002993', '002995', '002997', '003001', '003003', '003004', '003010', '003018', '003019', '003021', '003025', '300813', '300815', '300816', '300817', '300818', '300819', '300820', '300821', '300823', '300824', '300826', '300828', '300830', '300831', '300833', '300835', '300836', '300837', '300838', '300839', '300840', '300841', '300843', '300845', '300846', '300847', '300849', '300851', '300853', '300856', '300857', '300859', '300860', '300861', '300862', '300864', '300865', '300867', '300868', '300869', '300870', '300871', '300872', '300873', '300875', '300876', '300877', '300878', '300879', '300880', '300881', '300882', '300883', '300884', '300885', '300886', '300889', '300891', '300893', '300895', '300897', '300899', '300900', '300901', '300902', '300903', '300905', '300906', '300907', '300908', '300909', '300912', '300913', '300915', '300916', '300921', '300923', '300928', '601399', '601568', '601956', '603095', '603112', '603221', '603353', '603408', '603439', '603551', '603682', '603893', '603931', '603948', '603949', '605001', '605018', '605050', '605066', '605100', '605108', '605118', '605136', '605158', '605166', '605177', '605178', '605183', '605188', '605199', '605255', '605266', '605318', '605333', '605366', '605399', '688004', '688013', '688026', '688027', '688050', '688051', '688055', '688056', '688060', '688065', '688069', '688077', '688080', '688085', '688086', '688090', '688095', '688096', '688100', '688106', '688126', '688129', '688135', '688156', '688158', '688159', '688160', '688165', '688177', '688178', '688180', '688186', '688189', '688215', '688219', '688221', '688222', '688228', '688233', '688256', '688266', '688277', '688278', '688286', '688308', '688309', '688311', '688312', '688313', '688318', '688335', '688336', '688338', '688360', '688365', '688377', '688378', '688379', '688393', '688398', '688418', '688466', '688488', '688500', '688505', '688508', '688513', '688518', '688519', '688520', '688521', '688528', '688529', '688550', '688551', '688555', '688556', '688557', '688558', '688566', '688568', '688569', '688571', '688577', '688579', '688580', '688585', '688586', '688588', '688589', '688590', '688596', '688600', '688668', '688678', '688679', '688788']"
次新预增,"['003009', '300841', '300869', '300877', '300887', '603392', '605008', '605009', '605118', '605168', '605333', '688026', '688051', '688289', '688298', '688301', '688378', '688513', '688516', '688595']"
武汉规划,"['000501', '000520', '000665', '000759', '000783', '000785', '000852', '000883', '000966', '000988', '002159', '002194', '002281', '002305', '002377', '002414', '002932', '300018', '300054', '300161', '300184', '300205', '300220', '300323', '300494', '300516', '300517', '300527', '300536', '300557', '300567', '300683', '300747', '300776', '600035', '600068', '600079', '600133', '600136', '600168', '600345', '600355', '600421', '600498', '600681', '600757', '600769', '600774', '600879', '600885', '600976', '600993', '600998', '601162', '601869', '603220', '603716', '603719', '688081', '688089']"
民企100,"['000333', '000876', '000895', '000963', '002001', '002007', '002024', '002027', '002032', '002044', '002050', '002120', '002127', '002157', '002230', '002236', '002241', '002252', '002271', '002311', '002352', '002410', '002414', '002460', '002475', '002555', '002594', '002600', '002601', '002602', '002607', '002624', '002714', '002812', '002841', '002938', '300003', '300014', '300015', '300033', '300059', '300122', '300124', '300136', '300142', '300144', '300347', '300408', '300433', '300454', '300498', '300529', '300558', '300601', '300661', '300676', '300750', '300759', '300760', '300782', '600031', '600196', '600233', '600276', '600352', '600438', '600521', '600570', '600584', '600588', '600660', '600690', '600703', '600745', '600763', '600989', '601012', '601100', '601138', '601216', '601231', '601633', '601877', '601933', '603160', '603195', '603233', '603288', '603392', '603501', '603517', '603658', '603659', '603799', '603806', '603833', '603899', '603939', '603986', '603993']"
民营医院,"['000150', '000516', '000592', '000638', '000700', '000705', '000722', '000725', '000732', '000766', '000788', '000812', '000908', '000919', '000963', '000990', '000999', '002004', '002030', '002038', '002086', '002162', '002172', '002173', '002219', '002332', '002390', '002424', '002435', '002437', '002478', '002524', '002538', '002550', '002795', '300009', '300015', '300020', '300086', '300143', '300246', '300288', '300298', '600079', '600085', '600196', '600272', '600329', '600436', '600518', '600568', '600594', '600763', '600767', '600829', '600896', '600993', '600998', '601567', '601886', '603222', '603998']"
民营银行,"['000620', '000631', '000690', '000861', '000876', '000900', '002024', '002064', '002065', '002075', '002146', '002171', '002177', '002233', '002269', '002271', '002277', '002286', '002288', '002298', '002307', '002310', '002355', '002360', '002361', '002398', '002412', '002426', '002450', '002457', '002515', '002524', '002567', '002640', '002661', '002697', '002721', '300011', '300038', '300070', '300147', '300157', '300194', '300251', '300283', '300284', '300324', '300498', '300616', '600012', '600031', '600122', '600143', '600162', '600255', '600380', '600400', '600410', '600478', '600546', '600588', '600692', '600728', '600882', '600884', '601208', '601216', '601339', '601567', '601777', '601877', '601933', '603001', '603366', '603737', '603828']"
氟概念,"['002012', '002326', '002407', '002409', '002442', '002709', '002915', '300037', '300343', '300346', '600141', '600160', '600378', '600618', '600636', '600892', '601678', '603379', '603931', '603978', '688268', '688386']"
氢能源,"['000413', '000531', '000551', '000635', '000637', '000669', '000698', '000709', '000723', '000755', '000811', '000875', '000969', '000980', '000990', '001696', '001896', '002002', '002012', '002054', '002080', '002140', '002221', '002249', '002272', '002274', '002408', '002427', '002430', '002469', '002488', '002498', '002549', '002564', '002628', '002639', '002648', '002665', '002684', '002709', '002733', '002783', '002971', '300007', '300068', '300072', '300091', '300145', '300152', '300157', '300179', '300228', '300234', '300274', '300325', '300375', '300376', '300409', '300435', '300441', '300471', '300473', '300540', '300586', '600066', '600141', '600157', '600166', '600218', '600248', '600273', '600277', '600337', '600378', '600379', '600458', '600470', '600590', '600686', '600691', '600727', '600746', '600758', '600759', '600803', '600860', '600875', '600956', '600969', '600989', '600997', '601016', '601216', '601311', '601678', '601766', '601777', '601965', '603045', '603113', '603637', '603698', '603776', '603906', '603938', '603959', '688106', '688339', '688529']"
氮化镓,"['000016', '000547', '000636', '002023', '002245', '002255', '002318', '002364', '002371', '002402', '002429', '002449', '002729', '002977', '002993', '300013', '300046', '300102', '300123', '300220', '300296', '300323', '300346', '300373', '300376', '300456', '300623', '300656', '300671', '300708', '300787', '300866', '600460', '600703', '600745', '605111', '688200', '688396']"
水产品,"['000667', '000798', '002069', '002086', '002696', '300094', '300268', '600097', '600257', '600275', '600467']"
水利建设,"['000778', '002051', '002060', '002131', '002205', '002457', '002532', '002586', '002671', '002694', '002871', '300021', '300145', '600068', '600075', '600116', '600131', '600283', '600326', '600502', '601669', '603616', '603617', '603757', '603856']"
